Word	Freq	Freq(%)
std	29	43.94
string	13	19.70
int	12	18.18
c	10	15.15
pair	9	13.64
tmp	8	12.12
inFile	8	12.12
wordsList	7	10.61
return	7	10.61
wordsMap	6	9.09
static	5	7.58
a	5	7.58
second	4	6.06
include	4	6.06
if	4	6.06
TextData	4	6.06
void	3	4.55
s	3	4.55
i	3	4.55
for	3	4.55
elem	3	4.55
b0	3	4.55
b	3	4.55
auto	3	4.55
a0	3	4.55
map	2	3.03
inputFileName	2	3.03
ifstream	2	3.03
first	2	3.03
fillDataFromFileToMap	2	3.03
const	2	3.03
clear	2	3.03
checkLetter	2	3.03
cast	2	3.03
bool	2	3.03
z	1	1.52
while	1	1.52
text	1	1.52
sort	1	1.52
size	1	1.52
reverse	1	1.52
open	1	1.52
n	1	1.52
make	1	1.52
list	1	1.52
iostream	1	1.52
insert	1	1.52
h	1	1.52
getline	1	1.52
getWordsNum	1	1.52
getWordsList	1	1.52
fstream	1	1.52
fail	1	1.52
eof	1	1.52
else	1	1.52
data	1	1.52
cout	1	1.52
compareElemsInWordsList	1	1.52
close	1	1.52
char	1	1.52
begin	1	1.52
algorithm	1	1.52
Z	1	1.52
A	1	1.52
9	1	1.52
0	1	1.52
